koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_impact,koi_steff,koi_slogg,koi_srad,koi_period_err1,koi_depth_err1,koi_duration_err1,label
3.04033046,1.8411,10859.0,568.2,8.99,1.0,0,0,0,0,0.736,5035.0,4.519,0.791,3.37e-07,25.8,0.0168,transit
15.33528675,3.897,3081.4,86.6,5.0,1.0,0,0,0,0,0.773,5251.0,4.581,0.817,1.989e-05,39.0,0.0771,transit
7.95825328,4.377,50.0,14.7,1.06,0.998,0,0,0,0,0.706,5847.0,4.191,1.402,7.673e-05,3.7,0.229,transit
31.33046135,5.176,5073.8,117.2,6.5,1.0,0,0,0,0,0.798,5251.0,4.581,0.817,3.977e-05,48.4,0.102,transit
3.9043425,3.831,16228.0,323.4,12.28,0.006,0,1,0,0,0.709,5810.0,4.526,0.898,1.339e-06,62.1,0.0271,eclipsing_binary
9.286358079,3.49949,44791.0,1671.1,17.61,0.0,0,1,0,0,0.377,5670.0,4.523,0.821,5.46e-07,32.8,0.00533,eclipsing_binary
3.951405455,2.1862,2453.9,117.2,31.44,0.0,0,1,0,0,1.276,6046.0,4.539,0.869,2.258e-06,25.2,0.0267,eclipsing_binary
23.65369415,8.2183,3341.8,266.3,7.89,0.999,0,0,0,0,0.008,5739.0,4.191,1.384,1.748e-05,13.2,0.021,transit
13.23352214,6.7372,504.6,49.1,3.06,0.996,0,0,0,0,0.014,5739.0,4.191,1.384,4.503e-05,10.8,0.0875,transit
6.15560285,4.9843,285.0,35.1,2.32,0.997,0,0,0,0,0.235,5739.0,4.191,1.384,2.704e-05,8.6,0.0994,transit
2.090811305,3.388,115.9,19.9,1.62,1.0,0,0,0,0,0.746,5739.0,4.191,1.384,9.571e-06,6.4,0.106,transit
3.180027898,3.5797,120.3,50.4,1.53,0.995,0,0,0,0,0.196,5847.0,4.191,1.402,7.278e-06,2.7,0.0558,transit
50.4467417,7.159,370.3,19.4,2.67,0.989,0,0,0,0,0.379,5739.0,4.191,1.384,0.0006505,20.1,0.247,transit
11.76307164,2.9076,1037.3,48.9,2.35,1.0,0,0,0,0,0.048,4959.0,4.603,0.756,2.035e-05,23.9,0.05,transit
56.2279271,3.57,862.7,20.9,2.37,0.878,0,0,0,0,0.7,4959.0,4.603,0.756,0.0003134,44.9,0.134,transit
2.384052875,3.0918,1268.1,50.5,17.06,0.0,0,1,1,1,1.178,4794.0,4.58,0.701,4.74e-06,29.9,0.0817,eclipsing_binary
7.953547,2.6312,875.4,38.4,2.25,1.0,0,0,0,0,0.3,4768.0,4.536,0.779,1.91e-05,25.3,0.0595,transit
4.14451656,2.3421,391.8,22.8,1.48,1.0,0,0,0,0,0.004,4768.0,4.536,0.779,1.44e-05,19.8,0.0984,transit
4.859386384,2.2757,6044.3,269.7,38.33,0.0,0,1,0,0,1.259,6072.0,4.47,0.988,1.272e-06,27.2,0.0122,eclipsing_binary
10.526294577,2.5211,9768.0,482.3,8.24,0.999,0,0,0,0,0.644,5386.0,4.553,0.793,1.783e-06,26.4,0.0257,transit
4.583520948,2.7055,3812.1,99.5,5.39,1.0,0,0,0,0,0.045,5815.0,4.54,0.877,4.18e-06,44.5,0.0321,transit
3.76181843,3.5176,510.6,35.9,2.66,0.876,0,0,0,0,0.926,5653.0,4.472,0.949,1.14e-05,16.4,0.0901,transit
8.20396958,2.9667,1024.4,54.4,3.01,1.0,0,0,0,0,0.823,5015.0,4.499,0.826,1.488e-05,21.2,0.0529,transit
14.49645186,4.016,647.5,25.7,3.01,1.0,0,0,0,0,0.97,5015.0,4.499,0.826,6.36e-05,26.7,0.305,transit
6.54626149,2.75,655.9,24.8,2.19,1.0,0,0,0,0,0.644,5251.0,4.581,0.817,2.668e-05,30.0,0.111,candidate
12.71809866,3.0957,1149.4,52.7,2.31,1.0,0,0,0,0,0.427,4702.0,4.592,0.686,2.324e-05,24.5,0.0562,transit
36.06588163,4.3246,1563.8,51.7,2.64,0.999,0,0,0,0,0.26,4702.0,4.592,0.686,8.305e-05,32.1,0.0634,transit
4.190425659,2.8589,2877.4,240.6,6.21,1.0,0,0,0,0,0.458,6073.0,4.392,1.135,1.611e-06,14.1,0.0224,transit
3.709870784,3.0694,2020.3,116.1,4.35,1.0,0,0,0,0,0.023,5727.0,4.463,0.978,3.043e-06,20.1,0.0265,transit
