TIC ID,TFOPWG Disposition
232679662,FP
233735068,FP
236815160,APC
277014266,FP
287190564,FP
294179389,FP
378159598,APC
405904232,FP
11111899,FP
136848581,FP
137284119,FP
15565627,FP
165523947,FP
167092385,PC
167098530,FP
167403519,PC
195199644,FP
240450679,APC
256886630,FP
266688542,FP
274942910,FP
275111900,FP
312083267,APC
330332501,FP
345996087,FP
357457104,FP
387664866,FP
387664868,FP
395171208,CP
42123111,FP
89759617,FP
92783821,FP
160708862,KP
260128333,CP
269701147,CP
269701147,CP
269701147,CP
233681149,FP
233390838,FP
256621916,FP
358631536,FP
1400770435,FP
160487753,PC
219852882,CP
219852882,CP
229747848,CP
229747848,CP
229770036,FP
272635712,APC
233953967,PC
1718201850,APC
336740528,APC
279177746,FP
365683032,FP
372264750,PC
277566483,PC
357972447,FP
275501623,FP
416624606,FP
330468175,FP
277447970,PC
395142888,PC
230017325,FP
26880783,PC
367099243,FP
120602501,FP
129539786,FP
136971594,FP
155005217,FP
155114483,FP
162130054,APC
164150539,FP
176899385,KP
190430205,FP
190442486,FP
190743990,FP
240613164,FP
249812036,FP
252490659,APC
274170255,FP
275722992,PC
276360911,FA
313506357,FP
328167090,FP
329864959,FP
343019899,CP
343442463,FP
346338552,KP
353038705,PC
365389353,FP
389182138,FP
416987878,FP
430528566,FP
431156009,FP
468472950,FP
468845640,FP
64553698,FP
66445643,APC
66783360,FP
258801269,FP
259126549,FP
259129875,FP
328750515,FP
352239069,PC
352239069,PC
387834907,FP
231736113,CP
364186197,CP
364186197,KP
115771549,APC
199444169,CP
116483514,CP
116483734,APC
119700084,PC
125442121,APC
148782377,PC
158025009,CP
164173105,CP
224600500,FA
311035838,KP
321857016,CP
329277372,FP
333473672,CP
346418409,FP
418959198,FP
350132371,APC
128501004,FP
2041563029,FP
377304435,FP
138968089,FP
293954617,CP
375506058,CP
256783784,PC
13684720,APC
138588540,PC
153976959,PC
154383539,PC
198356533,CP
229650439,CP
229650439,CP
232982558,CP
233617847,PC
233617847,PC
233951353,PC
235683377,CP
237232044,CP
258514800,CP
259172391,PC
259172391,PC
294471966,PC
294471966,PC
298073824,FA
343628284,CP
356158613,FA
356158613,PC
377293776,CP
417931607,CP
420112589,CP
198390247,CP
198390247,CP
294179385,PC
387259626,APC
199376584,CP
176860064,APC
191284318,KP
16920150,FA
17005768,FP
44631965,APC
188768068,CP
190998418,KP
229944666,PC
236887394,KP
237086564,PC
240968774,CP
243185500,CP
243185500,CP
283722336,KP
283722336,KP
284441182,CP
306263608,CP
306263608,CP
306955329,CP
352413427,CP
427654774,FP
431514478,PC
432549364,KP
240681314,KP
409794137,CP
421308357,FP
335483600,FP
197650870,FP
252616865,PC
452803785,FP
67309890,FP
377191482,FA
233541860,FP
459978312,FA
198457103,FA
219751469,FA
283474780,APC
53875855,PC
354594208,FP
